001E07AF.esd,stNIB-v1_06735,Sotub07g024120
002A07AF.esd,stNIB-v1_02929,Sotub04g029960
002A12AF.esd,stNIB-v1_12761,Sotub04g010190
002C01AF.esd,stNIB-v1_04079,Sotub06g031060
002C02AF.esd,stNIB-v1_17323,Sotub09g013740
003F10AF.esd,stNIB-v1_01764,Sotub07g016110
003F12AF.esd,stNIB-v1_02333,Sotub09g007670
007A03AF.esd,stNIB-v1_32978,007A03AF.esd
007B03AF.esd,stNIB-v1_13287,Sotub12g028790
007D07AF.esd,stNIB-v1_00155,Sotub01g033540
007G09AF.esd,stNIB-v1_04435,Sotub12g007090
008C02AF.esd,stNIB-v1_11462,PGSC0003DMG400024342
008D10AF.esd,stNIB-v1_10625,Sotub07g028060
008E09AF.esd,stNIB-v1_04954,Sotub09g010010
008E11AF.esd,stNIB-v1_08586,PGSC0003DMG400025406
008F09AF.esd,stNIB-v1_12985,Sotub05g005660
014C05AF.esd,stNIB-v1_07733,Sotub11g009190
014C07AF.esd,stNIB-v1_06782,Sotub01g042150
017A07AF.esd,stNIB-v1_09684,Sotub03g029620
017A12AF.esd,stNIB-v1_06078,Sotub10g024120
017G01AF.esd,stNIB-v1_06289,Sotub01g015540
017G11AF.esd,stNIB-v1_09592,Sotub07g026940
017H07AF.esd,stNIB-v1_14930,Sotub11g005990
020E06AF.esd,stNIB-v1_03248,Sotub04g005020
020E09AF.esd,stNIB-v1_28016,PGSC0003DMG400028085
020G09AF.esd,stNIB-v1_05248,Sotub07g021580
021B06AF.esd,stNIB-v1_09856,Sotub05g019190
021C09AF.esd,stNIB-v1_12442,Sotub06g027780
021F09AF.esd,stNIB-v1_02921,Sotub12g026320
021H02AF.esd,stNIB-v1_09175,Sotub01g039120
022C10AF.esd,stNIB-v1_04881,Sotub03g010460
022E05AF.esd,stNIB-v1_11612,Sotub01g037050
023A05AF.esd,stNIB-v1_06682,Sotub06g009110
023B10AF.esd,stNIB-v1_01240,Sotub11g010910
023C08AF.esd,stNIB-v1_02124,Sotub02g027810
023G10AF.esd,stNIB-v1_04511,Sotub04g031430
024A05AF.esd,stNIB-v1_17099,Sotub07g013810
025B11AF.esd,stNIB-v1_15710,Sotub02g014490
